Gridname,Gridlink.com:8002
3D Worldz,www.3dWorldz.com:8002
3DLES,edugrid.3dles.com:8002
4Creative,pangea.myftp.org:8002
A Dimension Beyond,grid.adimensionbeyond.net:8002
A Virtual World,avirtualworld.org:8002
Accueil Dracsoom,dracsoom.ddns.net:8002
Admeja,admeja.bounceme.net:8002
Adreans-World,adreans-world.from-fl.com:8000
Adult Life,adult-life.de:8002
Aedynar,aedynar.com:8002
AI Grid,ai.let-us.cyou:8002
AIRE Mille Flux,grid.aire-mille-flux.org:8002
Alecia Grid,alecianagrid.com:8002
Alexa World,alexaworld.de:8002
Alife Virtual,alifevirtual.com:8002
Alternate Metaverse,alternatemetaverse.com:8002
Alterworld Grid,hg.alterworld.us:7002
AmaziWorld,login.amaziworld.com:8002
Angel Souls,angel-souls.de:8002
Ankabi,ankabi.de:8002
Ansjela Grid,hg.ansjelagrid.com:28002
AnSky,login.anskygrid.ca:8002
Arcadia Asylum,arcadiaasylum.org:8002
Ardalia,ardiva.ddns.net:8002
Ardiva,ardiva.ddns.net:8002
Ares World,aresworld.outworldz.net:8002
Argentoratum,cogito.no-ip.info:8002
Argofantasy,argofantasy.com:8002
Arielle’s Grid,bound2.ddns.net:8002
ArtDestiny,artdestiny.de:8002
Assassin Guard,assassinguard.opensim.fun:38002
Astralia,astralia.eu:8002
Atlantide,real-3d.zapto.org:8002
Atlantis,209.126.208.163:9023
Atlas Grid,atlasgrid.fr:8002
Ausgrid,login.ausgridds.biz:8002
Avacon,grid.avacon.org:8002
AvatarLand,mikeland.ddns.net:8002
AvatarLife,grid.avatarlife.com:8002
Avie Realm,logon.avierealm.com:8002
AviVerse AlterEgo,aviverse.it:8002
AviWorlds,login.aviworlds.com:8002
Baller Nation,login.ballernation.us:8002
Barefoot Dreamers,login.barefoot-dreamers.com:8002
Beta Technologies,opensim.betatechnologies.info:8002
Blendioptera Grid,blendioptera2.outworldz.net:8002
BloodMoon,bloodmoonpack.com:8002
Bridgemere,bridgemere.outworldz.net:8002
Bridger,bridger.outworldz.net:8002
Caelum Alpha,caelumalpha.outworldz.net:8002
Canadian Grid,canadiangrid.ca:8002
CandM World,grid.candmworld.com:8002
CandorsRPWorld,candorsrpworld.ch:8002
Carima Welt,carima-welt.de:8002
Casperia Prime,casperia.ddns.net:8002
Cat Woman Rose,catwomanrose.de:8002
CLC grid,clcgrid.com:8002
Clone Fantasy,clonefantasy.ovh:8002
Coffee Grid,coffeegrid.net:8002
Concadia,gridconcadia.com:8002
Conectados Grid,conectados.opensim.fun:8802
Cooperation Creative,hg.cc-group.cc:8002
Counter Earth,jand.dyndns.biz:7002
Cozy Comforts Grid,grid.cozycomforts.net:8002
Craft World,craft-world.org:8002
CreaNovale Grid,login.creanovale.ca:8052
Creo Mundos,grid.CreoMundos.com:8002
Czech Welcome Centre,opensim.cz:9000
Dajas Grid,Grid.Daja.at:8002
Dark Heaven,Dark-Heaven.eu:8002
Darkheart’s Playground,playground.darkheartsos.com:8002
Decadence,decadence.ddns.net:8002
Deep Playa,rajal.org:9000
DigiWorldz,login.digiworldz.com:8002
Discovery Grid,discoverygrid.net:8002
Doghouse,doghouse.outworldz.net:8002
Dorena’s World,dorenas-world.de:8002
DowGrid,dowgridworld.com.br:8002
Dragonz Kin Territories,grid.dragonzkinterritory.org:18002
Dynamic Worldz,grid.dynamicworldz2.com:8822
Dyvall,dyvall.de:8002
E-LIVE Virtual World,world.eliveproject.eu:8002
Edge of Reality Grid,theedgeofreality.ddns.net:8882
EdMondo,slw.indire.it:8002
EducaSim,grid.educasim.es:8002
Endivatomic World,endivatomic.eu:8002
Equinox Grid,equinoxgrid.com:8002
Escape 2 Reality Grid,grid.escape2reality.org:8002
EscapeLands,world.escapelands.com:8002
Esfera Split,split.esferavirtual.com.br:8002
Esfera Virtual,esferavirtual.com.br:8002
Eureka World,grid1.eurekaworld.co.il:8002
EVA Park,evapark.co.uk:8002
Expanse,expanse.outworldz.net:8002
Fae Farms,alanna.outworldz.net:8002
Fearless Mysteries,www.fearlessmysteries.eu:8002
Forgotten Worlds,213.200.254.17:18002
France RP,francerpgrid.fr:8002
Free Life,freelife.outworldz.net:8002
Freedom Grid,freedomgrid.world:8002
Fresh MetaVers,abc.outworldz.net:8002
Freya’s Shadow World,213.200.254.17:12002
Friends Grid,login.friends-grid.com:8002
FuoriGrid,fuorigrid.opensim.online:8002
Furry World,Furry-World.de:8002
Gaming Friends,45.138.48.36:8002
GBG World,gbg-world.com:8002
Genesis Roleplay Grid,grid.genesis-roleplay.org:8002
Gentle Fire Grid,gentlefire.opensim.fun:8002
GerGrid,gergrid.de:8002
Ghost Area,ghostarea.com:8002
Goldor Grid,goldor.outworldz.net:8002
Grid Nirvana,grid.gridnirvana.net:4002
Grid Racers,GridRacers.com:8002
GridExperience,hg.gridexperience.com:8002
GridMania,gridmania.outworldz.net:8002
Gridworld,gridworld.de:8002
Groovy Verse,groovyverse.com:8002
Hartland,hartland.ddns.net:8002
Here Grid,here-grid.de:8002
Herederos Grid,herederos.inworldz.net:8002
HG Safari Grid,grid.hgsafari.org:58002
Humble Grid,humble1.outworldz.net:9002
Hypergrid City,login.hypergridcity.com:8002
I Love You Grid,iloveyougrid.net:8002
Icelady Grid,iceladygrid.de:8002
Ignis Fatuus,ignis-fatuus.no-ip.biz:8002
Immersion Tools,grid.suboceana.fr:8002
Imperiya Grid,imperiya.sytes.net:8002
Infinite Grid,grid.infinitegrid.org:8002
Ipsofacto,ipsofacto.ddns.net:8002
JamGrid,jamgrid.de:8002
Japan Open Grid,jogrid.net:8002
Jaytopia,jaytopia.outworldz.net:8002
Joe’s Place,joesplace.outworldz.net:8002
jOpenSimWorld,grid.jopensim.com:8002
